;identifier;titulo;descripcion;autor;fecha_publicacion;idioma;descargas;tamano;temas;formato;url;topics;data;num_favoritos;num_revisions;m4b_links
10;fcc08_2102_librivox;First Chapter Collection 08;"LibriVox recording of First Chapter Collection 008 by Various. Read in English by Stacy Dugan-Wilcox; BettyB; Colleen McMahon; Craig Campbell; KevinS; Peter Yearsley; Piotr Nater; Soeun (Kelly) Park The first chapter of a book is often the hook to draw a reader in. It could make you eager for more or realize it isn't for you. In this, the 8th First Chapter Collection, we offer you old favorites, such as Pride and Prejudice and The Call of the Wild. We tour the world, with Mexico and The Natural History of Selbourne, contemplate philosophy with Knowing and Being and relax with a Dissertation on Oriental Gardening with a side of Cakes and Cookies. For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (87MB)";['Various'];2021-02-07T00:00:00Z;['eng'];173669;528289162;['librivox', 'audiobooks'];audio;https://archive.org/details/fcc08_2102_librivox;librivox, audiobooks, ;2021-02-07;3;174058;[{'url': 'https://archive.org/download/fcc08_2102_librivox/FirstChapter08_librivox.m4b', 'text': 'M4B Audiobook (87MB)'}]
11;worlds_best_literature_11_2103_librivox;Library of the World's Best Literature, Ancient and Modern, volume 11;"LibriVox recording of Library of the World's Best Literature, Ancient and Modern, volume 11 by Various. Read in English by LibriVox volunteers. The Library of the World's Best Literature, Ancient and Modern, is a work of enormous proportions. Setting out with the simple goal of offering ""American households a mass of good reading"", the editors drew from literature of all times and all kinds what they considered the best pieces of human writing, and compiled an ambitious collection of 45 volumes (with a 46th being an index-guide). Besides the selection and translation of a huge number of poems, letters, short stories and sections of books, the collection offers, before each chapter, a short essay about the author or subject in question. In many cases, chapters contemplate not one author, but certain groups of works, organized by nationality, subject or period; there is, thus, a chapter on Accadian-Babylonian literature, one on the Holy Grail, and one on Chansons, for example. The...";['Various'];2021-03-04T00:00:00Z;['eng'];172178;3251732167;['librivox', 'audiobooks', 'fiction', 'nonfiction', 'exerpts'];audio;https://archive.org/details/worlds_best_literature_11_2103_librivox;librivox, audiobooks, fiction, nonfiction, exerpts, ;2021-03-04;5;172178;[{'url': 'https://archive.org/download/worlds_best_literature_11_2103_librivox/WorldsBestLiterature1101-19_librivox.m4b', 'text': 'M4B Audiobook 01-19 (267MB)'}, {'url': 'https://archive.org/download/worlds_best_literature_11_2103_librivox/WorldsBestLiterature1120-35_librivox.m4b', 'text': 'M4B Audiobook 20-35 (267MB)'}, {'url': 'https://archive.org/download/worlds_best_literature_11_2103_librivox/WorldsBestLiterature1136-44_librivox.m4b', 'text': 'M4B Audiobook 36-44 (92MB)'}]
12;prayers_2107_librivox;C. H. Spurgeon's Prayers;"LibriVox recording of C. H. Spurgeon's Prayers by Charles H. Spurgeon. Read in English by MaryAnn. The day on which a volume of C. H. Spurgeon's Pulpit Prayers appears is a day to be desired. Decidedly this selection of the great preacher's prayers supplies a want. Lovers of C. H. Spurgeon will delight in this treasury of devotion. It was memorable to hear this incomparable devine when he preached. It was often even more memorable to hear him pray. Prayer was the instinct of his soul, and the atmosphere of his life. It was his ""vital breath"" and ""native air."" How naturally he inhaled and exhaled it! The greatness of his prayers more and more impresses and delights me. He touched every note. He sped as on eagle's wings, into the Heaven of God. May many be enabled, through grace, by the study of these prayers, to pray more abundantly and for effectually! (From the Introduction by Dinsdale T. Young) For further information, including links to online text, reader information, RSS feeds,...";['Charles H. Spurgeon'];2021-07-28T00:00:00Z;['eng'];110287;784449342;['librivox', 'audiobooks', 'prayer', 'Spurgeon', 'christian'];audio;https://archive.org/details/prayers_2107_librivox;librivox, audiobooks, prayer, Spurgeon, christian;2021-07-28;19;110287;[{'url': 'https://archive.org/download/prayers_2107_librivox/SpurgeonsPrayers_librivox.m4b', 'text': 'M4B Audiobook (134MB)'}]
13;crimen_y_castigo_2105_librivox;Crimen y castigo;LibriVox recording of Crimen y castigo by Fyodor Dostoyevsky. (Translated by Pedro Pedraza y Páez.) Read in Spanish by Epachuko Obra cumbre de la literatura rusa y universal. Probablemente la más conocida de Dostoyesky. Está dividida en 6 partes y un epílogo. El estudiante Raskólnikoff, agobiado por pobreza y una serie de extraños razonamientos que van creciendo en su cabeza, planifica y ejecuta un terrible asesinato, llegando a convencerse de que ha obrado con justicia y hasta con brillantez. En las siguientes semanas, la investigación del crimen, la sospecha de poder ser descubierto, sus miserias morales y otros acontecimientos, irán generando un cambio profundo en la forma de ser y la psicología de nuestro protagonista. (Summary by Epachuko) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer...;['Fyodor Dostoyevsky'];2021-05-07T00:00:00Z;['spa'];264431;3478889647;['librivox', 'audiobooks', 'espanol', 'crimen', 'siglo xix', 'literatura rusa'];audio;https://archive.org/details/crimen_y_castigo_2105_librivox;librivox, audiobooks, espanol, crimen, siglo xix, literatura rusa, ;2021-05-07;24;264431;[{'url': 'https://archive.org/download/crimen_y_castigo_2105_librivox/CrimenCastigo01-30_librivox.m4b', 'text': 'M4B Audiobook 01-30 (363MB)'}, {'url': 'https://archive.org/download/crimen_y_castigo_2105_librivox/CrimenCastigo31-49_librivox.m4b', 'text': 'M4B Audiobook 31-49 (224MB)'}]
14;warfieldcollection3_2110_librivox;The B. B. Warfield Collection, Volume 3;LibriVox recording of The B. B. Warfield Collection, Volume 3 by Benjamin B. Warfield. Read in English by InTheDesert. This volume showcases the diversity of Warfield's interests: as a systematic theologian, New Testament scholar, historian and churchman. Included are all the articles Warfield wrote for the journal Bibliotheca Sacra in the year of his death on John Humphrey Noyes and the Oneida Community. The B. B. Warfield Collection, Volume 1 The B. B. Warfield Collection, Volume 2 (Summary by IntheDesert) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (258MB);['Benjamin B. Warfield'];2021-10-23T00:00:00Z;['eng'];125286;1660680888;['librivox', 'audiobooks', 'christian', 'theology', 'evolution', 'atheism', 'doctrine', 'Presbyterian', 'Calvinism', 'inspiration', 'trinity', 'unitarianism', 'infant baptism', 'john humphrey noyes', 'perfectionism', 'new testament canon'];audio;https://archive.org/details/warfieldcollection3_2110_librivox;librivox, audiobooks, christian, theology, evolution, atheism, doctrine, Presbyterian, Calvinism, inspiration, trinity, unitarianism, infant baptism, john humphrey noyes, perfectionism, new testament canon;2021-10-23;2;125286;[{'url': 'https://archive.org/download/warfieldcollection3_2110_librivox/Warfield3_librivox.m4b', 'text': 'M4B Audiobook (258MB)'}]
15;compilationpoemes014_2105_librivox;Compilation de poèmes - 014;"LibriVox recording of Compilation de poèmes - 014 by Various. Read in French by NateGdM; Ezwa; Christiane Jehanne; Nathan McDonald; Jody Holman; Giovanni; Mathieu; Sonia; fatch Cette compilation comprend une série de poèmes lus, en langue française, pour LibriVox. Résumé par Ezwa. For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (38MB)";['Various'];2021-05-21T00:00:00Z;['fre'];135026;242871132;['librivox', 'audiobooks', 'poésie'];audio;https://archive.org/details/compilationpoemes014_2105_librivox;librivox, audiobooks, poésie;2021-05-21;1;135026;[{'url': 'https://archive.org/download/compilationpoemes014_2105_librivox/Poemes014_librivox.m4b', 'text': 'M4B Audiobook (38MB)'}]
16;creeds_of_christendom_2111_librivox;The Creeds of Christendom;"LibriVox recording of The Creeds of Christendom by Various. Read in English by volunteer readers. This is based on Philip Schaff's Creeds of Christendom taking only the creeds that he selected, using the translations he supplied where possible but rearranged chronologically (using the dates he supplied) but excluding his commentary and notes. ""He who wishes to grow strong in his religious life, let him, I say, next to the Bible, feed himself on the great Creeds of the Church. There is a force of religious inspiration in them which you will seek in vain elsewhere. And this for good reasons. First, because it is ever true that it is by the truth that sanctification is wrought. And next, because the truth is set forth in these Creeds with a clearness and richness with which it is set forth nowhere else. For these Creeds are not the products of metaphysical speculation, as many who know infinitesimally little about them are prone to assert, but are the compressed and weighted utterances...";['Various'];2021-11-18T00:00:00Z;['eng'];111960;6570638114;['librivox', 'audiobooks', 'Christianity', 'doctrine', 'creeds', 'confessions'];audio;https://archive.org/details/creeds_of_christendom_2111_librivox;librivox, audiobooks, Christianity, doctrine, creeds, confessions;2021-11-18;9;111960;[{'url': 'https://archive.org/download/creeds_of_christendom_2111_librivox/CreedsChristendom000-037_librivox.m4b', 'text': 'M4B Audiobook 000-037 (269MB)'}, {'url': 'https://archive.org/download/creeds_of_christendom_2111_librivox/CreedsChristendom038-059_librivox.m4b', 'text': 'M4B Audiobook 038-059 (356MB)'}, {'url': 'https://archive.org/download/creeds_of_christendom_2111_librivox/CreedsChristendom060-086_librivox.m4b', 'text': 'M4B Audiobook 060-086 (354MB)'}, {'url': 'https://archive.org/download/creeds_of_christendom_2111_librivox/CreedsChristendom087-101_librivox.m4b', 'text': 'M4B Audiobook 87-101 (91MB)'}]
17;chateau_des_carpathes_2102_librivox;Le château des Carpathes;"LibriVox recording of Le château des Carpathes by Jules Verne. Read in French by Christiane Jehanne; Giovanni; Rémi; Margot; Stéphanie; Isad; Ezwa Le château des Carpathes raconte l'histoire de la rivalité entre deux hommes charismatiques pour une jeune cantatrice italienne et les évènements tragiques qui s'en suivent. Cinq ans avant même la parution du Dracula de Bram Stoker, Jules Verne (1828-1905), renommé pour son mélange de la science au mystérieux, a déjà placé cette histoire fantastique dans les sombres forêts et montagnes des Carpathes. - Summary by Sonia For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (151MB)";['Jules Verne'];2021-02-14T00:00:00Z;['fre'];156420;914368922;['librivox', 'audiobooks', 'romance', 'science fiction', 'mystère', 'transylvanie', 'gothique'];audio;https://archive.org/details/chateau_des_carpathes_2102_librivox;librivox, audiobooks, romance, science fiction, mystère, transylvanie, gothique;2021-02-14;4;156420;[{'url': 'https://archive.org/download/chateau_des_carpathes_2102_librivox/ChateauCarpathes_librivox.m4b', 'text': 'M4B Audiobook (151MB)'}]
18;ssf_075_2102_librivox;Short Science Fiction Collection 075;"LibriVox recording of Short Science Fiction Collection 075 by Various. Read in English by Paul Harvey; Dale Grothmann; Gabriel Mc Dermott; BarryHaworth; Autumn; Eric Kim; James Jenkins; Stacy Dugan-Wilcox; Ralph Martin; merecat; Colleen McMahon; P.J. Vander Kooij; holtonhj64 ; Sindu Ravindran Science fiction is a genre encompassing imaginative works that take place in this world or that of the author’s creation where anything is possible. The only rules are those set forth by the author. The speculative nature of the genre inspires thought and plants seeds that have led to advances in science. The genre can spark an interest in the sciences and is cited as the impetus for the career choice of many scientists. It is a playing field to explore social perspectives, predictions of the future, and engage in adventures unbound into the richness of the human mind.( A. Gramour) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats...";['Various'];2021-02-09T00:00:00Z;['eng'];194147;1285101721;['librivox', 'audiobooks', 'time travel', 'space travel', 'specualitive fiction'];audio;https://archive.org/details/ssf_075_2102_librivox;librivox, audiobooks, time travel, space travel, specualitive fiction;2021-02-09;12;194147;[{'url': 'https://archive.org/download/ssf_075_2102_librivox/SSFC075_librivox.m4b', 'text': 'M4B Audiobook (209MB)'}]
19;chelovek_2103_librivox;Человек в футляре;"LibriVox recording of Человек в футляре by Anton Chekhov. Read in Russian by Mark Chulsky; tovarisch; Wolfgang Bas; Kazbek; Scarbo; Hanna Ponomarenko; Лена Сухая; Victor Seremet В центр рассказа в рассказе автор поместил карикатурного персонажа, который так сильно боялся начальства и привык жить в атмосфере ограничений и запретов, что своими страхами сделал невыносимой жизнь всех обитателей маленького провинциального городка. С приездом нового учителя и его сестры ""человеку в футляре"" пришлось столкнуться с действительностью, от которой он так тщательно прятался. Главный герой же основного рассказа, Иван Иваныч, вызывает у разных людей порой противоположные мнения. The author draw a cartoon character in the center of the inner story of his nested structure work. He was so frightened of the authorities and loved to live with restrictions that he terrorized all the citizens of a small provincial town. When a new teacher and his sister come, ""the man in a case"" has to face the reality...";['Anton Chekhov'];2021-03-02T00:00:00Z;['rus'];27173;114790458;['librivox', 'audiobooks', 'sports'];audio;https://archive.org/details/chelovek_2103_librivox;librivox, audiobooks, sports;2021-03-02;2;26500;[{'url': 'https://archive.org/download/chelovek_2103_librivox/Chelovekvfutliare_librivox.m4b', 'text': 'M4B Audiobook (13MB)'}]
20;ssf_081_2109_librivox;Short Science Fiction Collection 081;"LibriVox recording of Short Science Fiction Collection 081 by Various. Read in English by Veronica Maresh Mead ; elibishop; Dale Grothmann; Dan Gurzynski; Luke Venediger; Christina Fu;  Rapunzelina; J; Shannon Marshall Lush; Edmund Bloxam; Science fiction is a genre encompassing imaginative works that take place in this world or that of the author’s creation where anything is possible. The only rules are those set forth by the author. The speculative nature of the genre inspires thought and plants seeds that have led to advances in science. The genre can spark an interest in the sciences and is cited as the impetus for the career choice of many scientists. It is a playing field to explore social perspectives, predictions of the future, and engage in adventures unbound into the richness of the human mind. ( A. Gramour) For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page...";['Various'];2021-09-16T00:00:00Z;['eng'];146690;1526459560;['librivox', 'audiobooks', 'Mars', 'space travel', 'speculative fiction', 'planetary travel', 'extraterrestrial', 'alien encounters'];audio;https://archive.org/details/ssf_081_2109_librivox;librivox, audiobooks, Mars, space travel, speculative fiction, planetary travel, extraterrestrial, alien encounters;2021-09-16;6;146690;[{'url': 'https://archive.org/download/ssf_081_2109_librivox/SSFC081_librivox.m4b', 'text': 'M4B Audiobook (249MB)'}]
21;librivox_sixteenth_anniversary_collection_2108_librivox;LibriVox Sixteenth Anniversary Collection;"LibriVox recording of LibriVox Sixteenth Anniversary Collection by Various. Read in English by Michele Fry; Maria Kasper; William Allan Jones; Ezwa; Alan Mapstone; Harley James; Chad Jackson; mleigh; Kazbek; Magda Wilde; Sue Anderson; KevinS; TriciaG; Sonia; Hanna Ponomarenko; Peter Thomlinson; David Starner; Rapunzelina; Lynne T; Cavaet; lorda; Carmen Fullmer; Devorah Allen; Andrea Atwood ""LibriVox is a hope, an experiment, and a question: can the net harness a bunch of volunteers to bring books in the public domain to life..."" Hugh McGuire, LibriVox's founder, August 9, 2005 In celebration of LibriVox's sixteenth anniversary, here is collection of short works of various kinds and from varied authors which include in their title the words 'sixteen' or 'sixteenth' or the number '16.' Each piece is selected and read by a LibriVox volunteer. For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the...";['Various'];2021-08-08T00:00:00Z;['mul'];123797;707970082;['librivox', 'audiobooks', 'short works'];audio;https://archive.org/details/librivox_sixteenth_anniversary_collection_2108_librivox;librivox, audiobooks, short works;2021-08-08;5;123797;[{'url': 'https://archive.org/download/librivox_sixteenth_anniversary_collection_2108_librivox/LVSixteenthAnniversary_librivox.m4b', 'text': 'M4B Audiobook (114MB)'}]
22;cuentos_de_terror_latinoamericanos_2106_librivox;Cuentos de terror latinoamericanos;"LibriVox recording of Cuentos de terror latinoamericanos by Various. Read in Spanish by Victor Villarraza; aphorist; Devan Tatlow; Juan Santana; Claudia Hernández; KendalRigans; earcicar El cuento latinoamericano a menudo es relegado fuera del ámbito del relato de terror, y aún del cuento fantástico, cuando existen ejemplos insuperables de cuentos de terror forjados en la literatura latinoamericana que marcaron no solo una época, sino que redimensionaron el género. - Summary by Phileas Fogg For further information, including links to online text, reader information, RSS feeds, CD cover or other formats (if available), please go to the LibriVox catalog page for this recording. For more free audio books or to become a volunteer reader, visit librivox.org . M4B Audiobook (140MB)";['Various'];2021-06-13T00:00:00Z;['spa'];217806;859694914;['librivox', 'audiobooks', 'cuentos', 'terror', 'uruguay', 'latinoamerica', 'brasil'];audio;https://archive.org/details/cuentos_de_terror_latinoamericanos_2106_librivox;librivox, audiobooks, cuentos, terror, uruguay, latinoamerica, brasil;2021-06-13;18;217806;[{'url': 'https://archive.org/download/cuentos_de_terror_latinoamericanos_2106_librivox/ContesLatinoAmericanos_librivox.m4b', 'text': 'M4B Audiobook (140MB)'}]
